@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
593,'2019/09/19 21:52:18:457',2,-13817330,-13817074,-13751538,-13357040,-13159664,-13225455,-13291247,-13422576,-13553905,-13817075,-13357037,-13357039,-13488624,-13686000,-13422830,-13028076,-13225453,-13422573,-13159661,-13225198,-11974096,-12105939,-12435161,-12566746,-12238039,-12172505,-14868976,-15395062,-12896489,-12568298,-6639943,-6114120,-5919056,-5458764,-5457994,-5787217,-6576736,-8155516,-9867430,-11514320,-6049354,-5787727,-4604485,-4604744,-4668739,-4799298,-4865349,-5325902,-6247004,-8351353,-6116173,-5195847,-4340540,-4206901,-4140337,-4536126,-4997706,-5259594,-5917265,-7691107,-6313295,-4998723,-4209720,-4208182,-4536893,-5062725,-5390404,-5652033,-6375243,-8347235,-7632248,-7633276,-7041139,-5856351,-4866887,-4996156,-5257784,-6111295,-8479077,-10329267,-8157560,-7367270,-6246479,-5654341,-5654087,-6377039,-8020839,-9338766,-10593732,-8956609,-12765928,-12634084,-11712985,-11186902,-10595020,-11975897,-13028328,-11976679,-10270175,-10140865,1
594,'2019/09/19 21:52:18:511',2,-13817072,-13751282,-13751537,-13356783,-13159662,-13225198,-13290990,-13422575,-13553903,-13751537,-13290729,-13290987,-13357037,-13554413,-13356779,-12962281,-13159657,-13356779,-13093867,-13225197,-8811121,-8614005,-8878979,-8748423,-8484996,-8617355,-10459557,-12433091,-12303320,-12502248,-6508875,-6247506,-5131086,-4736583,-4932166,-5128261,-5391433,-6114902,-7628144,-10063519,-6246990,-5590604,-4603456,-4602688,-4535867,-4733505,-5062985,-5457230,-6246488,-8021357,-6116945,-5064517,-4340795,-4207411,-4470071,-5128518,-5588299,-5718599,-6376016,-8412772,-6710114,-6514276,-5790554,-5131855,-4801094,-4996671,-5257785,-5979453,-7952217,-9533571,-7237226,-6776418,-5919057,-5261127,-5062978,-5324605,-6375239,-7954276,-10459054,-11189216,-11580623,-10922173,-10395053,-10262950,-8683925,-10460337,-12500435,-11976418,-11385828,-8956868,-13028589,-13028846,-12371177,-11976936,-11582952,-12569069,-13291759,-12108265,-10336224,-10141122,1
595,'2019/09/19 21:52:18:557',2,-14277361,-14211825,-14211824,-13817327,-13620207,-13685743,-13817071,-13883119,-14014448,-14277618,-11773871,-12038074,-12367299,-12763343,-12500175,-12434897,-13027291,-13619431,-13619691,-13685743,-8284763,-7627867,-7235682,-6380632,-6511448,-6773078,-7431523,-8746874,-10458528,-12368592,-7497047,-7301472,-5919569,-5723221,-5853524,-5918033,-6115155,-6706780,-7628394,-9207168,-6971993,-6578008,-5394509,-5326406,-5391427,-5852238,-6641755,-6969692,-7561058,-9007731,-6248272,-6579033,-5329738,-5262922,-5590862,-6115665,-6377037,-6966603,-8215641,-9598325,-7501943,-8028797,-7633014,-6514532,-5723475,-5720390,-6441285,-7689295,-9928577,-11381184,-10462647,-9935263,-9011845,-8485242,-7892592,-9076610,-10524839,-11645643,-12239844,-12044520,-13094377,-13226220,-13555182,-14081265,-12767214,-13424113,-14081010,-12897518,-12240617,-9746636,-13620976,-13752306,-13094638,-12766446,-12437998,-13292530,-13883635,-12897262,-11191270,-11061449,1
596,'2019/09/19 21:52:18:591',2,-11971761,-12234423,-12827850,-12960728,-13422055,-13488360,-13685483,-13882603,-14014188,-14211824,-9600884,-8745578,-8286055,-8155758,-7958380,-8221296,-8812149,-9931919,-11445422,-12959955,-8812652,-7760226,-7761513,-6708316,-6578018,-6905442,-7101019,-7561312,-8219501,-9337983,-7892581,-7235425,-6577755,-5788499,-5918031,-6114381,-6640983,-7496550,-8153453,-8811379,-4407622,-5854808,-5592659,-5197387,-5721935,-6444888,-7101790,-7560797,-8216669,-9071464,-526865,-4410463,-7042685,-6909808,-6317670,-6051928,-6246221,-7163980,-8346708,-10189946,-6450071,-9410737,-9014164,-8091258,-7498350,-7036513,-8943481,-10851740,-11249081,-12041693,-11187161,-12437221,-13160683,-13752558,-13555181,-13029355,-12963307,-13028844,-12503275,-12241643,-13028586,-13226221,-13620976,-14212596,-12964593,-13555956,-14212340,-13094639,-12437995,-9943760,-13686513,-13752562,-13225968,-12897775,-12569583,-13358322,-13949172,-12963311,-11388136,-11193293,1
597,'2019/09/19 21:52:18:624',2,-11971761,-12234423,-12827850,-12960728,-13422055,-13488360,-13685483,-13882603,-14014188,-14211824,-9600884,-8745578,-8286055,-8155758,-7958380,-8221296,-8812149,-9931919,-11445422,-12959955,-8812652,-7760226,-7761513,-6708316,-6578018,-6905442,-7101019,-7561312,-8219501,-9337983,-7892581,-7235425,-6577755,-5788499,-5918031,-6114381,-6640983,-7496550,-8153453,-8811379,-4407622,-5854808,-5592659,-5197387,-5721935,-6444888,-7101790,-7560797,-8216669,-9071464,-526865,-4410463,-7042685,-6909808,-6317670,-6051928,-6246221,-7163980,-8346708,-10189946,-6450071,-9410737,-9014164,-8091258,-7498350,-7036513,-8943481,-10851740,-11249081,-12041693,-11187161,-12437221,-13160683,-13752558,-13555181,-13029355,-12963307,-13028844,-12503275,-12241643,-13028586,-13226221,-13620976,-14212596,-12964593,-13555956,-14212340,-13094639,-12437995,-9943760,-13686513,-13752562,-13225968,-12897775,-12569583,-13358322,-13949172,-12963311,-11388136,-11193293,1
598,'2019/09/19 21:52:18:657',2,-10325642,-10719373,-11180443,-11642288,-12498889,-12960985,-13289951,-13684967,-14013932,-14211567,-9469042,-9271920,-8548457,-8483952,-7827308,-7826536,-8285545,-8942961,-10259853,-11905459,-9273465,-8088419,-7826793,-7102813,-6576730,-7037284,-7166814,-7560798,-8152678,-9007988,-8287857,-7300191,-7104098,-5919827,-6050129,-6245709,-6574416,-7429728,-8351086,-8941936,-3026227,-5263194,-6579300,-5592658,-5656653,-6182229,-6970717,-7561310,-8151646,-8939360,-197642,-3883610,-6186345,-7238774,-6710885,-6513251,-6312785,-6967886,-8083538,-9267296,-6318229,-10200268,-11121097,-10132134,-9144209,-8287872,-9075582,-10720154,-11117237,-11777231,-11186903,-12436964,-13160684,-13752559,-13620719,-13160684,-12963307,-13028843,-12568809,-12307177,-13028585,-13225965,-13620720,-14212597,-12964337,-13555956,-14212340,-13094638,-12569068,-10009552,-13686256,-13752306,-13226223,-12897775,-12569583,-13423602,-13883635,-13028846,-11388136,-11258830,1
599,'2019/09/19 21:52:18:691',2,-9800063,-9733497,-10061438,-10720660,-11576749,-12565449,-12960982,-13421791,-13817064,-14211566,-9403759,-9206124,-8746345,-8417897,-8353648,-7696488,-8090216,-8680297,-9667451,-11116188,-9273460,-8550508,-7628893,-7630694,-6576723,-6840412,-7234657,-7495773,-8087393,-8811116,-8091761,-7762021,-7169886,-6446677,-5920080,-6246990,-6377290,-7034963,-8022372,-8877423,-2105382,-5461603,-6514276,-6383196,-5592652,-5919822,-6511189,-7365727,-8021856,-8743776,-197641,-4279404,-6318701,-6844780,-7172460,-6645344,-6513246,-6575438,-7559501,-8544595,-6252945,-10134987,-11977181,-11317952,-9802911,-8749450,-8813693,-9404545,-10195096,-11117748,-11121365,-12371427,-13160682,-13687022,-13555437,-13095146,-12963305,-12963305,-12503270,-12372712,-12963048,-13160682,-13555439,-14147059,-12964591,-13555954,-14212595,-13029101,-12569322,-9944015,-13620976,-13752305,-13160686,-12897773,-12569581,-13358064,-13883634,-13028845,-11453669,-11193803,1
600,'2019/09/19 21:52:18:725',2,-10524051,-9536122,-9798522,-10323846,-11378596,-12300477,-13223385,-13618658,-13948137,-14276845,-9930877,-9073769,-9271663,-8614249,-8746608,-8550004,-8286572,-8943730,-9666683,-11115161,-9339255,-9207413,-8154725,-7760227,-7629413,-6970200,-7365990,-7825255,-8218726,-8941676,-8223865,-8288114,-7563104,-7366755,-6313554,-6378835,-6705745,-6968144,-7692125,-8679278,-1579041,-5855601,-7302512,-6973540,-5920592,-5919053,-6444372,-7233116,-8153448,-8875881,-197642,-5002367,-7635091,-6843755,-7765115,-7302763,-6842471,-6971744,-7363412,-8216660,-6383761,-10266061,-12174049,-12436695,-10197413,-8682886,-8681336,-7824485,-8811121,-10061194,-11186901,-12502499,-13226219,-13818095,-13686510,-13226219,-13028842,-13028583,-12568294,-12503527,-13094119,-13291499,-13620975,-14212595,-13029872,-13621491,-14277875,-13160173,-12765930,-10206161,-13686255,-13817841,-13291502,-12963309,-12635117,-13423600,-13949170,-13094382,-11584742,-11324623,1
601,'2019/09/19 21:52:18:757',2,-12565186,-9996935,-9931139,-10720145,-11575720,-12695751,-13552352,-13947881,-14079467,-14342637,-9734523,-9271917,-8942697,-9140333,-8679785,-8745579,-9075059,-9601919,-10588560,-11575716,-9603455,-9272950,-8812657,-7956576,-7891556,-8022887,-7365731,-7957869,-8482156,-9007468,-8554115,-8288116,-8286827,-7299419,-7234397,-6444628,-6837588,-7034197,-7559768,-8218212,-1710627,-5724270,-7630962,-6576980,-6708311,-5919053,-6246478,-6902866,-7758173,-8745068,-197642,-5133697,-9740225,-7174266,-7896702,-7961723,-7433836,-7039852,-7562595,-8152413,-6449297,-10331596,-12239585,-12304852,-9803421,-8023664,-6903894,-7034452,-7626071,-8480093,-11317973,-12502500,-13291755,-13818094,-13686509,-13225961,-12896998,-12238038,-11579591,-12107221,-13094119,-13291755,-13686255,-14278131,-13095408,-13687026,-14212338,-13159916,-12831721,-10271698,-13751792,-13817840,-13291501,-13028845,-12700653,-13489137,-14014705,-13159661,-11650022,-11259344,1
602,'2019/09/19 21:52:18:790',2,-12565186,-9996935,-9931139,-10720145,-11575720,-12695751,-13552352,-13947881,-14079467,-14342637,-9734523,-9271917,-8942697,-9140333,-8679785,-8745579,-9075059,-9601919,-10588560,-11575716,-9603455,-9272950,-8812657,-7956576,-7891556,-8022887,-7365731,-7957869,-8482156,-9007468,-8554115,-8288116,-8286827,-7299419,-7234397,-6444628,-6837588,-7034197,-7559768,-8218212,-1710627,-5724270,-7630962,-6576980,-6708311,-5919053,-6246478,-6902866,-7758173,-8745068,-197642,-5133697,-9740225,-7174266,-7896702,-7961723,-7433836,-7039852,-7562595,-8152413,-6449297,-10331596,-12239585,-12304852,-9803421,-8023664,-6903894,-7034452,-7626071,-8480093,-11317973,-12502500,-13291755,-13818094,-13686509,-13225961,-12896998,-12238038,-11579591,-12107221,-13094119,-13291755,-13686255,-14278131,-13095408,-13687026,-14212338,-13159916,-12831721,-10271698,-13751792,-13817840,-13291501,-13028845,-12700653,-13489137,-14014705,-13159661,-11650022,-11259344,1
603,'2019/09/19 21:52:18:824',2,-13816034,-12236225,-11248037,-11709364,-12564167,-13486816,-13882090,-14013675,-14079724,-14408174,-9537403,-9272946,-8614760,-8877674,-8744805,-8941925,-9797243,-11115422,-11708077,-12432318,-9473154,-9273721,-8680814,-8351333,-7823962,-8549489,-8154734,-7695468,-8614768,-9139567,-8620165,-8420728,-8484207,-7233367,-7431008,-7102558,-6706773,-7429727,-7757920,-8218212,-2697778,-5856103,-7367018,-7169118,-7234913,-5984591,-6312529,-6639695,-7230801,-8152161,-197642,-5199232,-10068416,-8554897,-7764088,-7632244,-7104613,-6775137,-7365219,-8351082,-6514834,-10397132,-12239585,-11187396,-8356481,-7499112,-7102044,-7102559,-7694181,-7823447,-11317973,-12502499,-13291755,-13818094,-13686252,-12567513,-11250365,-10327718,-9734032,-10392216,-13094120,-13291755,-13686511,-14278131,-13095407,-13686770,-14212338,-13094379,-12831464,-10336977,-13751791,-13883377,-13291501,-13028844,-12700652,-13489136,-14014707,-13094380,-11715557,-11259345,1
604,'2019/09/19 21:52:18:856',2,-14277102,-13882087,-13025743,-13157850,-13618918,-13816554,-13948139,-14079468,-14145517,-14408432,-10722457,-9998477,-8352102,-8351843,-8875875,-9863034,-10982549,-12234166,-12695750,-13222868,-9144700,-8945524,-8351590,-8416098,-8416869,-8482924,-8549490,-7958124,-8549230,-9337459,-8620160,-8486005,-8417901,-7892327,-7430492,-7694695,-6772821,-7365476,-8022380,-8350058,-4672340,-7172471,-7762287,-7629412,-7299935,-6444629,-6378323,-6771026,-7098703,-7888475,-263178,-5198969,-9014432,-8815751,-7301736,-6841440,-6116689,-6509909,-7298653,-8285031,-6580626,-10462925,-12370914,-11121604,-7107184,-8027003,-8552320,-7565166,-7498603,-7824478,-11317973,-12568292,-13291755,-13818094,-13225441,-11052978,-9471630,-8417910,-8218728,-8744810,-13159655,-13357291,-13686511,-14278132,-13095407,-13621233,-14277617,-13159657,-12831462,-10402255,-13751791,-13883377,-13357037,-13094381,-12700653,-13489136,-14014706,-13094124,-11846629,-11193811,1
605,'2019/09/19 21:52:18:891',2,-14342894,-14277100,-14079464,-13882346,-13882090,-13947881,-14013931,-14145260,-14211052,-14408431,-12104631,-10656669,-8286563,-8615013,-9600116,-10785423,-11772839,-12826820,-13025743,-13552348,-9012596,-8681576,-8285021,-8548451,-8416610,-8482920,-8615023,-8089192,-8746348,-9468528,-8685173,-8813938,-8615790,-7957859,-7496281,-7760485,-6903634,-7431268,-8088427,-8415847,-6778739,-8028027,-8156013,-7694431,-7300189,-6510162,-6444114,-6836817,-7098958,-7888473,-657939,-6054008,-8487047,-7959148,-6905688,-6116686,-5984331,-6443601,-7298137,-8284772,-6778002,-10791886,-12633825,-10858171,-7502199,-8554119,-8618880,-7500143,-7498088,-7890267,-11515092,-12699620,-13423082,-13817835,-11975108,-9933717,-8483442,-7561566,-7822935,-8546398,-13225446,-13422826,-13752046,-14343922,-13095406,-13686767,-14212078,-13093863,-12633567,-10336202,-13817582,-13883632,-13357291,-13094379,-12766187,-13554927,-14146033,-13159658,-11846627,-11193809,1
606,'2019/09/19 21:52:18:924',2,-14277358,-14013928,-13882084,-13816553,-13816554,-13882091,-13948139,-14079467,-14145517,-14408431,-12170426,-9340030,-8220771,-8614498,-9270637,-10522251,-11509667,-12367036,-12630727,-13288918,-8946289,-8615526,-8087642,-8548709,-8022368,-8483692,-7958379,-7760741,-8680556,-9205357,-8816245,-8616302,-8484719,-7497052,-7431262,-7168604,-6707285,-7431270,-7890277,-8284262,-7173241,-7829620,-8090220,-7102552,-7103324,-5984334,-6312271,-6508108,-7033936,-8020831,-855576,-6053751,-8421510,-7433575,-7038047,-5854286,-5984076,-6444629,-7430237,-8350565,-6712724,-10791887,-12568032,-8424592,-7501427,-8422788,-7894643,-7105385,-7365215,-7823444,-11449558,-12699619,-13357545,-13620712,-11711678,-9801617,-8418422,-7825254,-8021086,-9205875,-13225447,-13357546,-13752046,-14278130,-13029869,-13620976,-14146287,-13093863,-12831204,-10402511,-13752302,-13883632,-13357291,-13028843,-12700651,-13554928,-14146289,-13094123,-11781090,-11128273,1
607,'2019/09/19 21:52:18:957',2,-14013671,-12762311,-12893898,-13157077,-13618404,-13816297,-13947881,-14013930,-14145259,-14408430,-10655892,-8614757,-8483170,-8612699,-8809309,-9599603,-10785941,-11313314,-11773870,-12630211,-9208179,-8746343,-8218715,-8218972,-8088420,-8220781,-7366758,-7957351,-8547687,-9270636,-8683637,-8351588,-8023910,-7101783,-7431775,-6444369,-6903895,-7363676,-7691868,-8349540,-6053736,-7236200,-7629925,-6971225,-6445139,-5984077,-6245450,-6507851,-7494230,-8613224,-328972,-5461620,-8553358,-7236970,-7302763,-6446937,-6314068,-6773336,-7824737,-8414813,-6646417,-10594507,-11187146,-7370353,-7302758,-7630444,-7103842,-7234657,-7297617,-8216143,-11383764,-12633826,-13291752,-13752041,-12303562,-10657190,-9603730,-9009792,-9798791,-10984356,-13159654,-13357289,-13752046,-14278130,-13095405,-13621232,-14212080,-13159656,-12896999,-10402511,-13817582,-13883376,-13357292,-13028843,-12765932,-13620464,-14211825,-13159658,-11781092,-11259087,1
608,'2019/09/19 21:52:18:991',2,-12038331,-11116449,-11642538,-11970997,-12893647,-13552610,-13816554,-13947882,-14079467,-14277102,-9470324,-8811625,-8942952,-8481891,-8350046,-8745837,-9272955,-9865093,-10719891,-11971506,-9405047,-8746092,-8285281,-7495254,-8089451,-7299939,-7366504,-7956583,-8349796,-9073517,-8485750,-8418412,-7101524,-7102556,-6510935,-6312529,-6705747,-6968147,-7626077,-8481899,-4539725,-6577505,-6774875,-6906206,-5590603,-5918283,-6245708,-6968915,-8087398,-9073005,-197642,-5133434,-7502471,-7435895,-7501942,-7171176,-6579557,-7036509,-7626327,-8281940,-6515091,-10331595,-10200247,-8224894,-7037790,-6180683,-6509650,-7100243,-7822164,-9136481,-11252437,-12502499,-13225962,-13752300,-13225699,-12238032,-11250366,-10722992,-11710663,-12305372,-13094119,-13291755,-13686254,-14278131,-13029871,-13621233,-14212082,-13159916,-12831465,-10271696,-13751791,-13817841,-13291501,-12963309,-12700397,-13554929,-14212083,-13094380,-11715557,-11259089,1
609,'2019/09/19 21:52:19:024',2,-12038331,-11116449,-11642538,-11970997,-12893647,-13552610,-13816554,-13947882,-14079467,-14277102,-9470324,-8811625,-8942952,-8481891,-8350046,-8745837,-9272955,-9865093,-10719891,-11971506,-9405047,-8746092,-8285281,-7495254,-8089451,-7299939,-7366504,-7956583,-8349796,-9073517,-8485750,-8418412,-7101524,-7102556,-6510935,-6312529,-6705747,-6968147,-7626077,-8481899,-4539725,-6577505,-6774875,-6906206,-5590603,-5918283,-6245708,-6968915,-8087398,-9073005,-197642,-5133434,-7502471,-7435895,-7501942,-7171176,-6579557,-7036509,-7626327,-8281940,-6515091,-10331595,-10200247,-8224894,-7037790,-6180683,-6509650,-7100243,-7822164,-9136481,-11252437,-12502499,-13225962,-13752300,-13225699,-12238032,-11250366,-10722992,-11710663,-12305372,-13094119,-13291755,-13686254,-14278131,-13029871,-13621233,-14212082,-13159916,-12831465,-10271696,-13751791,-13817841,-13291501,-12963309,-12700397,-13554929,-14212083,-13094380,-11715557,-11259089,1
610,'2019/09/19 21:52:19:058',2,-9996677,-9930367,-10521480,-11049115,-11905204,-12828110,-13223385,-13487329,-13947880,-14276846,-9403247,-9139819,-9008234,-8482663,-8483952,-8023915,-8351849,-8811116,-9864319,-11378337,-9404280,-8812399,-7824990,-7760743,-7101529,-6971488,-7496805,-7692383,-8284005,-9007984,-8287858,-8155242,-7168091,-6839898,-6050642,-6377552,-6508108,-7165525,-8153191,-9007984,-3223350,-5920349,-6182484,-6248532,-5525066,-5983821,-6640980,-7561824,-8283747,-9005666,-197642,-4541813,-6384243,-7502459,-7501685,-6973800,-6578272,-6837585,-7755598,-8740948,-6449299,-10331339,-11055303,-9540505,-8024179,-7102304,-7034968,-8086884,-9665922,-10918309,-11252182,-12502244,-13225963,-13752302,-13620717,-13160170,-12699876,-12765412,-12633831,-12503528,-13028584,-13291500,-13620719,-14212595,-13029871,-13621235,-14212339,-13160173,-12765931,-10205905,-13686257,-13817842,-13225966,-13028590,-12635118,-13555186,-14146547,-13094126,-11650279,-11259344,1
611,'2019/09/19 21:52:19:091',2,-9799035,-9732210,-9532780,-10126720,-11049372,-11906488,-12169919,-12696778,-13618142,-14211309,-9534318,-9336681,-8679527,-8681071,-8024686,-7629413,-8154213,-8613478,-9534836,-10982805,-9272690,-8483431,-7825503,-7498082,-6575955,-7102045,-7232344,-7626331,-8284260,-9139313,-8287857,-7760994,-7366497,-6182481,-6050126,-6311499,-6705741,-7758430,-8810861,-9335917,-2170662,-5460833,-6776679,-6448222,-5985871,-6248276,-7036250,-7561048,-8150613,-9135704,-197642,-4278631,-6317415,-6974825,-6709597,-6644062,-6575441,-7164748,-8412242,-9728616,-6383761,-10266059,-11976668,-11316669,-10131362,-9144210,-9865869,-11576490,-11710661,-12173277,-11186901,-12502244,-13226218,-13818094,-13686510,-13226219,-13094635,-13094635,-12699881,-12372713,-13028583,-13225963,-13620975,-14212595,-13095408,-13621491,-14278131,-13160174,-12700394,-10074830,-13686256,-13817841,-13291502,-12963309,-12700654,-13555186,-14146548,-13159918,-11584742,-11259087,1
612,'2019/09/19 21:52:19:140',2,-9995643,-10060919,-9467755,-9402477,-10391695,-10919073,-11313575,-12103866,-13223124,-14145258,-9798262,-9205094,-8416612,-8747121,-7629672,-7695206,-8022113,-8547427,-9271922,-10653838,-9470325,-8022364,-7892068,-6971481,-6706770,-7035222,-7166036,-7692380,-8482154,-9402740,-8155756,-7497822,-7301217,-5919821,-6115404,-6508619,-7297877,-8284773,-9006952,-9466473,-1250080,-5461861,-7238258,-7041131,-6776158,-6644319,-6970454,-7427919,-8280653,-9661277,-197642,-4541547,-7106677,-6511447,-5983815,-6444112,-6705483,-7952465,-9400685,-11048604,-6384017,-10266315,-12174048,-12831199,-12041168,-10725049,-12763078,-14013666,-12633828,-12371174,-11252436,-12502500,-13226219,-13818351,-13686510,-13292013,-13160427,-13160427,-12700137,-12372713,-13028583,-13357035,-13620975,-14278131,-13030128,-13687027,-14278132,-13160429,-12569322,-10074828,-13686256,-13817840,-13226222,-12963309,-12635118,-13555185,-14146547,-13094381,-11519206,-11324620,1
613,'2019/09/19 21:52:19:174',2,-10192763,-10257785,-9534062,-9205098,-9931142,-10391953,-10852250,-11839920,-13025229,-14145000,-9995642,-9205352,-8482405,-8615278,-7563620,-7957350,-8021341,-8547169,-9271409,-10653324,-9667702,-8087899,-8023396,-6905175,-6837841,-6968656,-7231570,-7955551,-8810604,-9600118,-8023914,-7299929,-7235167,-6050892,-6246474,-6837581,-7758684,-8481379,-9071458,-9597287,-855585,-5790824,-7435637,-7304046,-6973537,-6906463,-6968911,-7558217,-8543308,-10122342,-197642,-4804465,-7830149,-7168865,-6378060,-6508876,-7296591,-8808806,-10258059,-11643322,-6449296,-10331596,-12305121,-13225959,-12962787,-11778257,-14540521,-14803698,-12699878,-12436966,-11252436,-12568035,-13291754,-13883887,-13752302,-13292012,-13225964,-13225964,-12765673,-12372712,-13094118,-13291754,-13686255,-14278131,-13095664,-13752563,-14278132,-13160430,-12634601,-10140363,-13752046,-13817841,-13357037,-13028845,-12700653,-13620722,-14212084,-13159917,-11519205,-11390156,1
614,'2019/09/19 21:52:19:208',2,-9402475,-9336425,-8481374,-8086874,-8615024,-9076090,-9601924,-10721437,-12038590,-13421279,-9074795,-7955543,-7364180,-7365212,-6313554,-6772821,-6771276,-7362639,-8152926,-9535097,-8549220,-7035728,-6773843,-5655624,-5654339,-5719361,-6048068,-6837585,-7757659,-8481636,-6577239,-5984584,-6051150,-4932925,-5194300,-5720129,-6574925,-7231312,-7886927,-8478803,-526874,-4541269,-6252133,-6120285,-5855314,-5656910,-5654078,-6243643,-7359295,-9266519,-131591,-3949414,-7172480,-6643293,-5852486,-5522238,-6376519,-7955044,-9403783,-10789045,-5331330,-9344959,-11319258,-12437217,-12174047,-11187411,-14541037,-14343407,-11845088,-11450849,-10265801,-11647708,-12503013,-13226219,-13094634,-12568808,-12371687,-12371430,-11845603,-11452386,-12305121,-12568293,-13028842,-13686512,-12241387,-12964078,-13686512,-12436968,-11780067,-9153726,-13094379,-13160429,-12568297,-12174311,-11846120,-12897772,-13554927,-12305384,-10664157,-10339009,1
615,'2019/09/19 21:52:19:240',2,-9402471,-9336934,-8416346,-8087384,-8352102,-8747376,-9339002,-10523796,-11906486,-13289690,-9140841,-7955795,-7364689,-7233878,-6313549,-6707793,-6771273,-7362635,-8087385,-9403250,-8549473,-7167309,-6773839,-5655876,-5654591,-5719613,-5982529,-6837581,-7692375,-8481631,-6446166,-5984837,-5985609,-4933177,-5129016,-5785918,-6575178,-7165771,-7887178,-8478798,-592664,-4410190,-6252128,-6186330,-5855565,-5657163,-5654074,-6178103,-7359292,-9134928,-131591,-3949669,-7370115,-6841182,-6050373,-5588284,-6377028,-8020833,-9338242,-10723248,-5331325,-9345212,-11319510,-12437471,-12174300,-11253458,-14541293,-14343405,-11845086,-11516381,-10266054,-11582169,-12503011,-13160936,-13029352,-12503525,-12371685,-12437220,-11845601,-11452640,-12239583,-12568291,-12963304,-13686765,-12306921,-12964332,-13686510,-12436966,-11780064,-9153723,-13028840,-13160427,-12568549,-12239845,-11780581,-12898027,-13554925,-12305637,-10598874,-10273726,1
616,'2019/09/19 21:52:19:274',2,-9402471,-9336934,-8416346,-8087384,-8352102,-8747376,-9339002,-10523796,-11906486,-13289690,-9140841,-7955795,-7364689,-7233878,-6313549,-6707793,-6771273,-7362635,-8087385,-9403250,-8549473,-7167309,-6773839,-5655876,-5654591,-5719613,-5982529,-6837581,-7692375,-8481631,-6446166,-5984837,-5985609,-4933177,-5129016,-5785918,-6575178,-7165771,-7887178,-8478798,-592664,-4410190,-6252128,-6186330,-5855565,-5657163,-5654074,-6178103,-7359292,-9134928,-131591,-3949669,-7370115,-6841182,-6050373,-5588284,-6377028,-8020833,-9338242,-10723248,-5331325,-9345212,-11319510,-12437471,-12174300,-11253458,-14541293,-14343405,-11845086,-11516381,-10266054,-11582169,-12503011,-13160936,-13029352,-12503525,-12371685,-12437220,-11845601,-11452640,-12239583,-12568291,-12963304,-13686765,-12306921,-12964332,-13686510,-12436966,-11780064,-9153723,-13028840,-13160427,-12568549,-12239845,-11780581,-12898027,-13554925,-12305637,-10598874,-10273726,1
